velocity,deceleration,acceleration,lateral_jerk,driving_style
very_fast,medium,large,small,between_moderate_and_aggressive
very_fast,medium,large,medium,more_aggressive_than_moderate
very_fast,medium,large,large,more_aggressive_than_moderate
very_fast,large,small,small,more_aggressive_than_moderate
very_fast,large,small,medium,between_moderate_and_aggressive
very_fast,large,small,large,more_aggressive_than_moderate
very_fast,large,medium,small,between_moderate_and_aggressive
very_fast,large,medium,medium,more_aggressive_than_moderate
very_fast,large,medium,large,aggressive
very_fast,large,large,small,more_aggressive_than_moderate
very_fast,large,large,medium,aggressive
very_fast,large,large,large,aggressive
